Make,Model,Year,Engine_L,Horsepower,Torque_lbft,ZeroTo60,Price_USD
Porsche,911,2022,3.0,379.0,331.0,4.0,101200
Lamborghini,Huracan,2021,5.2,630.0,443.0,2.8,274390
Ferrari,488 GTB,2022,3.9,661.0,561.0,3.0,333750
McLaren,720S,2021,4.0,710.0,568.0,2.7,298000
BMW,M8,2022,4.4,617.0,553.0,3.1,130000
Mercedes-Benz,AMG GT,2021,4.0,523.0,494.0,3.8,118500
Chevrolet,Corvette,2021,6.2,490.0,465.0,2.8,59900
Ford,Mustang Shelby GT500,2022,5.2,760.0,625.0,3.5,81000
Nissan,GT-R Nismo,2021,3.8,600.0,481.0,2.5,212000
Aston Martin,DB11,2021,5.2,630.0,516.0,3.5,201495
Bugatti,Chiron,2021,8.0,1500.0,1180.0,2.4,3000000
Dodge,Challenger SRT Hellcat,2022,6.2,717.0,656.0,3.5,61000
Jaguar,F-Type,2022,3.0,296.0,295.0,5.4,70100
Koenigsegg,Jesko,2021,5.0,1280.0,1015.0,2.5,2800000
Lexus,LC 500,2021,5.0,471.0,398.0,4.4,92950
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,104450
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.8,150000
Porsche,Boxster,2021,2.0,300.0,280.0,4.7,62000
Alfa Romeo,Giulia Quadrifoglio,2022,2.9,505.0,443.0,3.8,78000
Ariel,Atom,2021,2.0,320.0,243.0,2.8,75000
Bentley,Continental GT,2021,6.0,626.0,664.0,3.6,225000
McLaren,Artura,2022,3.0,671.0,531.0,3.0,225000
Mercedes-AMG,SLS AMG,2021,6.2,622.0,468.0,3.5,248000
Pagani,Huayra,2021,6.0,720.0,737.0,2.8,2800000
Polestar,1,2021,2.0,600.0,738.0,4.1,155000
Rimac,Nevera,2022,4.0,1914.0,1696.0,1.85,2400000
Porsche,Cayman GT4,2022,4.0,414.0,309.0,3.8,100200
Lamborghini,Aventador SVJ,2021,6.5,759.0,531.0,2.8,517770
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000
Audi,RS7,2022,4.0,591.0,590.0,3.5,117000
McLaren,Artura,2021,3.0,671.0,531.0,3.0,225000
BMW,M4,2022,3.0,503.0,479.0,3.8,72800
Mercedes-Benz,SLS AMG,2015,6.2,622.0,468.0,3.2,222000
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64695
Ford,GT,2022,3.5,660.0,550.0,3.0,500000
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.5,45690
Porsche,Taycan 4S,2022,4.0,562.0,479.0,3.8,104000
Lamborghini,Urus,2021,4.0,641.0,626.0,3.5,218000
Ferrari,Roma,2021,3.9,611.0,561.0,3.3,222000
Audi,RS3,2022,2.5,394.0,369.0,3.9,57000
McLaren,GT,2021,4.0,612.0,465.0,3.1,210000
BMW,i8,2020,4.0,369.0,420.0,4.2,148500
Mercedes-Benz,CLS63 AMG,2019,4.0,603.0,627.0,3.4,132000
Porsche,Cayman,2021,2.0,300.0,280.0,5.1,58900
Lamborghini,Aventador SVJ,2021,6.5,759.0,531.0,2.8,518000
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000
Audi,RS3,2022,2.5,394.0,369.0,3.9,56200
McLaren,570S,2021,3.8,562.0,443.0,2.8,192500
BMW,M4,2022,3.0,503.0,479.0,3.8,71800
Mercedes-Benz,AMG C63,2021,4.0,503.0,516.0,3.8,68000
Chevrolet,Camaro SS,2021,6.2,455.0,455.0,4.1,42500
Ford,Mustang GT,2022,5.0,460.0,420.0,4.3,39000
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.8,46100
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.5,142100
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,105000
Porsche,Panamera,2021,2.9,325.0,331.0,5.1,87200
Lamborghini,Urus,2021,4.0,641.0,627.0,3.2,218000
Ferrari,Roma,2021,3.9,612.0,560.0,3.4,222000
Audi,S5,2022,3.0,349.0,369.0,4.4,52500
McLaren,600LT,2021,3.8,592.0,457.0,2.8,241000
BMW,M5,2022,4.4,600.0,553.0,3.2,103500
Aston Martin,Vantage,2022,4.0,503.0,505.0,3.5,146000
Audi,RS5,2021,2.9,444.0,443.0,3.6,75400
BMW,M2,2022,3.0,405.0,406.0,4.0,58900
Chevrolet,Camaro SS,2021,6.2,455.0,455.0,4.0,42900
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797.0,707.0,3.4,78595
Ford,GT,2021,3.5,660.0,550.0,3.0,500000
Jaguar,F-Type,2022,2.0,296.0,295.0,5.4,62750
Lamborghini,Aventador,2021,6.5,770.0,531.0,2.9,417826
Maserati,GranTurismo,2021,4.7,454.0,384.0,4.7,150980
McLaren,Artura,2022,3.0,671.0,531.0,3.0,225000
Mercedes-Benz,C63 AMG,2021,4.0,503.0,516.0,3.8,70100
Nissan,370Z,2021,3.7,332.0,270.0,5.0,30090
Porsche,Panamera,2022,2.9,325.0,331.0,5.3,88700
Audi,TT RS,2021,2.5,394.0,354.0,3.6,67600
BMW,M4,2022,3.0,473.0,406.0,4.1,72800
Chevrolet,Corvette Stingray,2021,6.2,490.0,465.0,2.8,59900
Ferrari,F8 Tributo,2021,3.9,710.0,568.0,2.8,274280
Ford,Mustang Mach 1,2021,5.0,480.0,420.0,4.3,52915
Lamborghini,Urus,2021,4.0,641.0,627.0,3.6,218009
Porsche,718 Cayman,2022,2.0,300.0,280.0,4.5,61000
Acura,NSX,2022,3.5,573.0,476.0,2.9,159495
Aston Martin,Vantage,2022,4.0,503.0,505.0,3.5,142086
Bentley,Continental GT,2021,6.0,626.0,664.0,3.3,219800
Bugatti,Chiron,2022,8.0,1500.0,1180.0,2.4,3000000
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797.0,707.0,3.4,74290
Jaguar,F-Type,2022,3.0,380.0,339.0,4.9,71900
Koenigsegg,Jesko,2022,5.0,1600.0,1106.0,2.5,3000000
Lexus,LC 500,2022,5.0,471.0,398.0,4.4,92950
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,105000
Maserati,GranTurismo,2022,4.7,454.0,384.0,4.7,134300
Mazda,MX-5 Miata,2021,2.0,181.0,151.0,6.5,26830
McLaren,GT,2022,4.0,620.0,465.0,3.1,213195
Mercedes-Benz,SLS AMG,2015,6.2,622.0,468.0,3.7,221580
Pagani,Huayra,2022,6.0,764.0,738.0,2.8,2800000
Porsche,718 Cayman GT4,2022,4.0,414.0,309.0,4.2,100550
Rimac,Nevera,2022,4.0,1914.0,1696.0,1.95,2400000
Rolls-Royce,Wraith,2021,6.8,624.0,605.0,4.4,330000
Tesla,Roadster,2022,4.0,591.0,737.0,1.9,200000
Toyota,Supra,2022,3.0,382.0,368.0,3.9,43090
W Motors,Fenyr Supersport,2022,3.8,800.0,723.0,2.7,1700000
Porsche,718 Cayman,2022,2.0,300.0,280.0,4.7,60500
Lamborghini,Aventador,2021,6.5,770.0,531.0,2.9,522000
Ferrari,SF90 Stradale,2021,4.0,986.0,590.0,2.5,625000
Audi,TT RS,2022,2.5,394.0,354.0,3.4,67000
McLaren,GT,2021,4.0,612.0,465.0,3.1,212500
BMW,M4,2022,3.0,503.0,479.0,3.8,75000
Mercedes-Benz,SL 63 AMG,2021,4.0,603.0,664.0,3.5,155000
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64000
Ford,GT,2022,3.5,660.0,550.0,2.8,500000
Nissan,370Z,2021,3.7,332.0,270.0,4.7,31015
Aston Martin,DBS Superleggera,2021,5.2,715.0,664.0,3.4,304995
Bugatti,Chiron,2021,8.0,1500.0,1180.0,2.4,3000000
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,105000
McLaren,570S,2021,3.8,562.0,443.0,3.2,192500
Porsche,Panamera Turbo S E-Hybrid,2021,4.0,690.0,642.0,3.2,190000
Lamborghini,Urus,2021,4.0,641.0,627.0,3.6,222000
Ferrari,Roma,2021,3.9,611.0,561.0,3.3,222000
Audi,RS7,2021,4.0,591.0,590.0,3.5,115000
BMW,M2,2022,3.0,405.0,406.0,4.2,59000
Porsche,Cayman GT4,2022,4.0,414.0,309.0,4.2,102100
Lamborghini,Aventador,2021,6.5,730.0,509.0,2.9,417826
Aston Martin,DBS Superleggera,2021,5.2,715.0,664.0,3.2,304995
Bentley,Continental GT,2021,6.0,626.0,664.0,3.6,220300
Audi,RS7,2022,4.0,591.0,590.0,3.5,114000
Mercedes-Benz,SLS AMG,2021,6.2,622.0,468.0,3.7,239100
McLaren,570S,2021,3.8,562.0,443.0,3.1,192500
BMW,M2,2022,3.0,405.0,406.0,4.0,58900
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,62500
Dodge,Challenger SRT Hellcat,2021,6.2,717.0,656.0,3.5,65290
Ferrari,Portofino,2021,3.9,592.0,560.0,3.5,219750
Porsche,Panamera Turbo S,2022,4.0,620.0,604.0,2.9,187700
Lamborghini,Urus,2021,4.0,641.0,627.0,3.6,222004
Mercedes-Benz,AMG C63,2021,4.0,469.0,479.0,3.8,71350
Aston Martin,Vantage,2021,4.0,503.0,505.0,3.6,146000
Audi,S5,2022,3.0,349.0,369.0,4.4,52500
Porsche,Cayman,2022,2.5,365.0,309.0,4.5,68900
Lamborghini,Aventador,2021,6.5,730.0,507.0,2.8,517770
Ferrari,F8 Tributo,2022,3.9,710.0,568.0,2.9,276550
Audi,TT RS,2021,2.5,394.0,354.0,3.6,67600
McLaren,570S,2021,3.8,562.0,443.0,3.1,192500
BMW,Z4 M40i,2022,3.0,382.0,369.0,3.9,63700
Mercedes-Benz,SLS AMG,2015,6.2,622.0,468.0,3.7,221580
Chevrolet,Camaro SS,2022,6.2,455.0,455.0,4.1,44000
Ford,Mustang Mach 1,2021,5.0,480.0,420.0,4.0,51720
Nissan,370Z Nismo,2021,3.7,350.0,276.0,4.9,45790
Porsche,Panamera,2022,2.9,325.0,331.0,5.4,88550
Lamborghini,Urus,2021,4.0,641.0,627.0,3.5,218009
Ferrari,Roma,2021,3.9,612.0,561.0,3.3,222620
Audi,RS 3,2022,2.5,401.0,369.0,3.6,56200
McLaren,GT,2021,4.0,612.0,465.0,3.2,200000
BMW,M2 CS,2022,3.0,444.0,406.0,3.8,84595
Mercedes-Benz,AMG C63,2021,4.0,503.0,516.0,3.8,77500
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,62500
Acura,NSX,2021,3.5,573.0,476.0,2.7,157500
Aston Martin,DB11,2022,4.0,503.0,513.0,3.7,204100
Bentley,Continental GT,2021,6.0,626.0,664.0,3.4,220300
Bugatti,Chiron,2021,8.0,1500.0,1180.0,2.4,3000000
Dodge,Viper,2017,8.4,645.0,600.0,3.3,120000
Jaguar,F-Type,2022,3.0,380.0,339.0,4.9,69900
Koenigsegg,Jesko,2022,5.0,1600.0,1106.0,2.5,3000000
Lexus,LC 500,2022,5.0,471.0,398.0,4.4,92950
Lotus,Evora GT,2021,3.5,416.0,317.0,3.8,105950
Maserati,GranTurismo,2020,4.7,454.0,384.0,4.8,150000
McLaren,570S,2020,3.8,562.0,443.0,3.1,204550
Pagani,Huayra,2020,6.0,720.0,738.0,3.0,2700000
Porsche,Cayman GT4,2022,4.0,414.0,309.0,4.2,102900
Rimac,C_Two,2022,4.0,1914.0,1696.0,1.9,2400000
Rolls-Royce,Wraith,2021,6.6,624.0,605.0,4.3,330000
Shelby,Cobra,1965,7.0,435.0,440.0,4.2,1000000
Tesla,Model S Plaid,2021,4.0,1020.0,1050.0,1.98,131190
Toyota,GR Supra,2022,3.0,382.0,368.0,3.9,43090
TVR,Griffith,2022,5.0,500.0,479.0,3.8,123500
W Motors,Lykan Hypersport,2015,3.7,780.0,708.0,2.8,3400000
Porsche,718 Cayman,2021,2.0,300.0,280.0,4.5,61500
Lamborghini,Aventador SVJ,2021,6.5,770.0,531.0,2.8,518000
Ferrari,SF90 Stradale,2022,4.0,986.0,590.0,2.5,507000
Audi,RS 6,2021,4.0,591.0,590.0,3.5,109000
McLaren,GT,2021,4.0,612.0,465.0,3.1,210000
BMW,M2 CS,2022,3.0,444.0,406.0,3.8,84595
Mercedes-Benz,SLS AMG,2015,6.2,622.0,468.0,3.6,228000
Chevrolet,Camaro SS,2021,6.2,455.0,455.0,4.0,42000
Ford,GT,2022,3.5,660.0,550.0,2.8,500000
Nissan,370Z Nismo,2021,3.7,350.0,276.0,5.0,45000
Porsche,Taycan,2021,4.0,750.0,774.0,2.6,185000
Lamborghini,Urus,2021,4.0,641.0,627.0,3.6,222004
Ferrari,F8 Tributo,2021,3.9,710.0,568.0,2.9,276550
Audi,RS 3,2022,2.5,401.0,354.0,3.5,56000
McLaren,570S,2021,3.8,562.0,443.0,3.1,191000
BMW,M5,2022,4.4,600.0,553.0,3.2,104000
Mercedes-Benz,AMG C 63,2021,4.0,469.0,479.0,3.9,69900
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,64000
Porsche,Taycan,2022,2.0,402.0,254.0,5.1,81250
Lamborghini,Aventador,2021,6.5,730.0,509.0,2.9,517700
Aston Martin,DBS Superleggera,2022,5.2,715.0,663.0,3.4,330000
Audi,RS 6 Avant,2021,4.0,591.0,590.0,3.5,109000
McLaren,600LT,2021,3.8,592.0,457.0,2.8,242500
Mercedes-AMG,C 63 S Coupe,2022,4.0,503.0,516.0,3.7,77000
BMW,M4,2022,3.0,473.0,406.0,4.1,72800
Chevrolet,Camaro ZL1,2021,6.2,650.0,650.0,3.5,62000
Dodge,Challenger SRT Hellcat Redeye,2022,6.2,797.0,707.0,3.5,76000
